  0.00000   0.00000    -0.000047
  0.00000   0.01000    -0.000095
  0.00000   0.02000    -0.000142
  0.00000   0.03000    -0.000189
  0.00000   0.04000    -0.000236
  0.00000   0.05000    -0.000283
  0.00000   0.06000    -0.000330
  0.00000   0.07000    -0.000377
  0.00000   0.08000    -0.000423
  0.00000   0.09000    -0.000469
  0.00000   0.10000    -0.000514
  0.00000   0.11000    -0.000559
  0.00000   0.12000    -0.000604
  0.00000   0.13000    -0.000648
  0.00000   0.14000    -0.000691
  0.00000   0.15000    -0.000734
  0.00000   0.16000    -0.000776
  0.00000   0.17000    -0.000818
  0.00000   0.18000    -0.000858
  0.00000   0.19000    -0.000898
  0.00000   0.20000    -0.000937
  0.00000   0.21000    -0.000976
  0.00000   0.22000    -0.001013
  0.00000   0.23000    -0.001049
  0.00000   0.24000    -0.001085
  0.00000   0.25000    -0.001119
  0.00000   0.26000    -0.001152
  0.00000   0.27000    -0.001185
  0.00000   0.28000    -0.001216
  0.00000   0.29000    -0.001246
  0.00000   0.30000    -0.001274
  0.00000   0.31000    -0.001302
  0.00000   0.32000    -0.001328
  0.00000   0.33000    -0.001353
  0.00000   0.34000    -0.001377
  0.00000   0.35000    -0.001399
  0.00000   0.36000    -0.001421
  0.00000   0.37000    -0.001440
  0.00000   0.38000    -0.001459
  0.00000   0.39000    -0.001476
  0.00000   0.40000    -0.001491
  0.00000   0.41000    -0.001505
  0.00000   0.42000    -0.001518
  0.00000   0.43000    -0.001529
  0.00000   0.44000    -0.001539
  0.00000   0.45000    -0.001547
  0.00000   0.46000    -0.001554
  0.00000   0.47000    -0.001559
  0.00000   0.48000    -0.001563
  0.00000   0.49000    -0.001565
  0.00000   0.50000    -0.001566
  0.00000   0.51000    -0.001565
  0.00000   0.52000    -0.001563
  0.00000   0.53000    -0.001559
  0.00000   0.54000    -0.001554
  0.00000   0.55000    -0.001547
  0.00000   0.56000    -0.001539
  0.00000   0.57000    -0.001529
  0.00000   0.58000    -0.001518
  0.00000   0.59000    -0.001505
  0.00000   0.60000    -0.001491
  0.00000   0.61000    -0.001476
  0.00000   0.62000    -0.001459
  0.00000   0.63000    -0.001440
  0.00000   0.64000    -0.001421
  0.00000   0.65000    -0.001399
  0.00000   0.66000    -0.001377
  0.00000   0.67000    -0.001353
  0.00000   0.68000    -0.001328
  0.00000   0.69000    -0.001302
  0.00000   0.70000    -0.001274
  0.00000   0.71000    -0.001246
  0.00000   0.72000    -0.001216
  0.00000   0.73000    -0.001185
  0.00000   0.74000    -0.001152
  0.00000   0.75000    -0.001119
  0.00000   0.76000    -0.001085
  0.00000   0.77000    -0.001049
  0.00000   0.78000    -0.001013
  0.00000   0.79000    -0.000976
  0.00000   0.80000    -0.000937
  0.00000   0.81000    -0.000898
  0.00000   0.82000    -0.000858
  0.00000   0.83000    -0.000818
  0.00000   0.84000    -0.000776
  0.00000   0.85000    -0.000734
  0.00000   0.86000    -0.000691
  0.00000   0.87000    -0.000648
  0.00000   0.88000    -0.000604
  0.00000   0.89000    -0.000559
  0.00000   0.90000    -0.000514
  0.00000   0.91000    -0.000469
  0.00000   0.92000    -0.000423
  0.00000   0.93000    -0.000377
  0.00000   0.94000    -0.000330
  0.00000   0.95000    -0.000283
  0.00000   0.96000    -0.000236
  0.00000   0.97000    -0.000189
  0.00000   0.98000    -0.000142
  0.00000   0.99000    -0.000095
  0.00000   1.00000    -0.000047
  0.01000   0.00000    -0.000095
  0.01000   0.01000    -0.000189
  0.01000   0.02000    -0.000284
  0.01000   0.03000    -0.000379
  0.01000   0.04000    -0.000473
  0.01000   0.05000    -0.000567
  0.01000   0.06000    -0.000661
  0.01000   0.07000    -0.000754
  0.01000   0.08000    -0.000846
  0.01000   0.09000    -0.000938
  0.01000   0.10000    -0.001029
  0.01000   0.11000    -0.001119
  0.01000   0.12000    -0.001208
  0.01000   0.13000    -0.001296
  0.01000   0.14000    -0.001383
  0.01000   0.15000    -0.001469
  0.01000   0.16000    -0.001553
  0.01000   0.17000    -0.001636
  0.01000   0.18000    -0.001718
  0.01000   0.19000    -0.001798
  0.01000   0.20000    -0.001876
  0.01000   0.21000    -0.001952
  0.01000   0.22000    -0.002027
  0.01000   0.23000    -0.002100
  0.01000   0.24000    -0.002170
  0.01000   0.25000    -0.002239
  0.01000   0.26000    -0.002306
  0.01000   0.27000    -0.002370
  0.01000   0.28000    -0.002433
  0.01000   0.29000    -0.002492
  0.01000   0.30000    -0.002550
  0.01000   0.31000    -0.002605
  0.01000   0.32000    -0.002658
  0.01000   0.33000    -0.002708
  0.01000   0.34000    -0.002755
  0.01000   0.35000    -0.002800
  0.01000   0.36000    -0.002842
  0.01000   0.37000    -0.002882
  0.01000   0.38000    -0.002919
  0.01000   0.39000    -0.002953
  0.01000   0.40000    -0.002984
  0.01000   0.41000    -0.003012
  0.01000   0.42000    -0.003037
  0.01000   0.43000    -0.003060
  0.01000   0.44000    -0.003079
  0.01000   0.45000    -0.003096
  0.01000   0.46000    -0.003109
  0.01000   0.47000    -0.003120
  0.01000   0.48000    -0.003127
  0.01000   0.49000    -0.003132
  0.01000   0.50000    -0.003133
  0.01000   0.51000    -0.003132
  0.01000   0.52000    -0.003127
  0.01000   0.53000    -0.003120
  0.01000   0.54000    -0.003109
  0.01000   0.55000    -0.003096
  0.01000   0.56000    -0.003079
  0.01000   0.57000    -0.003060
  0.01000   0.58000    -0.003037
  0.01000   0.59000    -0.003012
  0.01000   0.60000    -0.002984
  0.01000   0.61000    -0.002953
  0.01000   0.62000    -0.002919
